,name,socket,form_factor,max_memory,memory_slots,color,item_price_in_php,chipset,ram_type
303,MSI MAG B860M MORTAR WIFI,LGA1851,Micro ATX,256,4,Black / Green,13699.0,B860,DDR5
304,Gigabyte Z890 GAMING X WIFI7,LGA1851,ATX,256,4,Silver / Black,17550.0,Z890,DDR5
306,Asus PRIME B760M-R D4,LGA1700,Micro ATX,64,2,Black,5799.0,B760,DDR5
308,MSI B860 GAMING PLUS WIFI,LGA1851,ATX,256,4,Silver / Black,12350.0,B860,DDR5
309,MSI PRO B760M-E DDR4,LGA1700,Micro ATX,64,2,Black,5150.0,B760,DDR4
310,Asus PRIME X870-P WIFI-CSM,AM5,ATX,192,4,Black / Silver,19799.0,X870,DDR5
312,Gigabyte A520M DS3H AC,AM4,Micro ATX,128,4,Black,4180.0,A520,DDR4
314,Asus PRIME B860M-A WIFI-CSM,LGA1851,Micro ATX,256,4,Silver / Black,12500.0,B860,DDR5
315,Gigabyte B760M DS3H,LGA1700,Micro ATX,192,4,Black / Silver,6699.0,B760,DDR5
317,MSI MPG Z790 CARBON WIFI II,LGA1700,ATX,192,4,Black,26850.0,Z790,DDR5
318,MSI PRO B760-P WIFI,LGA1700,ATX,192,4,Black / Silver,10999.0,B760,DDR5
320,ASRock X670E Taichi Carrara,AM5,EATX,256,4,Black / White,19799.0,X670,DDR5
321,Asus ROG STRIX B860-G GAMING WIFI,LGA1851,Micro ATX,256,4,White / Silver,17150.0,B860,DDR5
323,Gigabyte Z790 UD AX,LGA1700,ATX,192,4,Black,13499.0,Z790,DDR5
324,ASRock Z890 Pro RS WiFi White,LGA1851,ATX,256,4,White / Silver,15999.0,Z890,DDR5
325,Gigabyte Z890 AORUS PRO ICE,LGA1851,ATX,256,4,White / Silver,29699.0,Z890,DDR5
327,Asus ROG STRIX B860-F GAMING WIFI,LGA1851,ATX,256,4,Black,19150.0,B860,DDR5
328,Gigabyte Z790I AORUS ULTRA,LGA1700,Mini ITX,96,2,Silver / Black,19999.0,Z790,DDR5
330,Gigabyte B760M AORUS ELITE X AX,LGA1700,Micro ATX,192,4,White / Silver,12625.0,B760,DDR5
332,MSI PRO B860-P WIFI,LGA1851,ATX,256,4,Silver / Black,11799.0,B860,DDR5
333,Gigabyte Z790 AERO G,LGA1700,ATX,192,4,,20599.0,Z790,DDR5
334,ASRock B660M-ITX/ac,LGA1700,Mini ITX,64,2,Silver / Black,6950.0,B660,DDR5
335,ASRock B860M Pro RS WiFi,LGA1851,Micro ATX,256,4,Silver / Black,10299.0,B860,DDR5
336,Gigabyte Z890 AERO G,LGA1851,ATX,256,4,Silver / White,23650.0,Z890,DDR5
338,MSI PRO Z790-A WIFI DDR4,LGA1700,ATX,128,4,Black / Silver,15225.0,Z790,DDR4
339,Asus PRIME H610M-E D4,LGA1700,Micro ATX,64,2,Silver / Black,4899.0,H610,DDR5
341,ASRock B860M Steel Legend WiFi,LGA1851,Micro ATX,256,4,White / Silver,12599.0,B860,DDR5
342,Asus ROG STRIX B860-A GAMING WIFI,LGA1851,ATX,256,4,White / Silver,17699.0,B860,DDR5
343,Gigabyte Z890M AORUS ELITE WIFI7,LGA1851,Micro ATX,256,4,Black,15550.0,Z890,DDR5
345,Asus PRIME B650M-A II,AM5,Micro ATX,192,4,Silver / Black,7799.0,B650,DDR5
347,MSI MPG B760I EDGE WIFI DDR4,LGA1700,Mini ITX,64,2,Silver / Black,11699.0,B760,DDR4
348,Gigabyte B760 GAMING X AX DDR4,LGA1700,ATX,128,4,Black,10899.0,B760,DDR4
349,Gigabyte B860M GAMING X WIFI6E,LGA1851,Micro ATX,256,4,Silver / Black,11399.0,B860,DDR5
351,Asus PRIME H610M-D D4,LGA1700,Micro ATX,64,2,Silver / Black,4999.0,H610,DDR5
353,Gigabyte B760M AORUS ELITE AX DDR4,LGA1700,Micro ATX,128,4,Black / Silver,9499.0,B760,DDR4
356,Asus PRIME X670E-PRO WIFI-CSM,AM5,ATX,192,4,Silver / Black,17699.0,X670,DDR5
357,Asus PRIME Z890-P WIFI-CSM,LGA1851,ATX,192,4,Black / Silver,19199.0,Z890,DDR5
358,Gigabyte B760M GAMING AC DDR4,LGA1700,Micro ATX,64,2,Black / Red,7525.0,B760,DDR4
359,Asus PRIME A620M-K-CSM,AM5,Micro ATX,96,2,Black / Silver,6299.0,A620,DDR5
361,Gigabyte B860M GAMING X,LGA1851,Micro ATX,256,4,Silver / Black,10199.0,B860,DDR5
